Key,Type,Size,Offset,is_Initialized
main,FUNC_int,16, 816, 1
writeFile,FUNC_int,8, 808, 1
scanf,FUNC_int,8, 768, 1
printf,FUNC_void,8, 760, 1
^,Operator, 8,736,1
>,Operator, 8,728,1
<,Operator, 8,720,1
%,Operator, 8,712,1
-,Operator, 8,680,1
],Operator, 8,640,1
<:,Operator, 8,624,1
:>,Operator, 8,632,1
[,Operator, 8,616,1
),Operator, 8,608,1
(,Operator, 8,600,1
prints,FUNC_void,8, 776, 1
=,Operator, 8,592,1
%>,Operator, 8,568,1
},Operator, 8,560,1
<%,Operator, 8,552,1
|,Operator, 8,744,1
{,Operator, 8,544,1
;,Operator, 8,536,1
!=,Operator, 8,528,1
strlen,FUNC_int,8, 784, 1
<=,Operator, 8,504,1
!,Operator, 8,664,1
||,Operator, 8,496,1
->,Operator, 8,480,1
--,Operator, 8,472,1
*,Operator, 8,696,1
switch,Keyword, 8,216,1
readFile,FUNC_int,8, 800, 1
typedef,Keyword, 8,224,1
sizeof,Keyword, 8,192,1
enum,Keyword, 8,80,1
for,Keyword, 8,104,1
int,Keyword, 8,136,1
_Bool,Keyword, 8,296,1
.,Operator, 8,648,1
while,Keyword, 8,264,1
~,Operator, 8,672,1
goto,Keyword, 8,112,1
/,Operator, 8,704,1
float,Keyword, 8,96,1
struct,Keyword, 8,208,1
_Alignas,Keyword, 8,272,1
volatile,Keyword, 8,256,1
break,Keyword, 8,8,1
else,Keyword, 8,72,1
+,Operator, 8,688,1
char,Keyword, 8,24,1
long,Keyword, 8,144,1
continue,Keyword, 8,40,1
|=,Operator, 8,440,1
case,Keyword, 8,16,1
short,Keyword, 8,176,1
...,Operator, 8,360,1
union,Keyword, 8,232,1
const,Keyword, 8,32,1
^=,Operator, 8,432,1
extern,Keyword, 8,88,1
if,Keyword, 8,120,1
double,Keyword, 8,64,1
&&,Operator, 8,488,1
return,Keyword, 8,168,1
static,Keyword, 8,200,1
signed,Keyword, 8,184,1
?,Operator, 8,752,1
register,Keyword, 8,152,1
do,Keyword, 8,56,1
inline,Keyword, 8,128,1
unsigned,Keyword, 8,240,1
_Complex,Keyword, 8,304,1
void,Keyword, 8,248,1
&,Operator, 8,656,1
%=,Operator, 8,416,1
printn,FUNC_void,8, 792, 1
_Alignof,Keyword, 8,280,1
restrict,Keyword, 8,160,1
_Atomic,Keyword, 8,288,1
*=,Operator, 8,400,1
_Generic,Keyword, 8,312,1
_Imaginary,Keyword, 8,320,1
:,Operator, 8,584,1
_Noreturn,Keyword, 8,328,1
==,Operator, 8,520,1
>=,Operator, 8,512,1
_Static_assert,Keyword, 8,336,1
+=,Operator, 8,384,1
_Thread_local,Keyword, 8,344,1
__func__,Keyword, 8,352,1
>>==,Operator, 8,368,1
<<,Operator, 8,456,1
<<==,Operator, 8,376,1
/=,Operator, 8,408,1
,,Operator, 8,576,1
default,Keyword, 8,48,1
-=,Operator, 8,392,1
&=,Operator, 8,424,1
++,Operator, 8,464,1
auto,Keyword, 8,0,1
>>,Operator, 8,448,1
